대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,수집시간
A,요양급여비용산정기준(행위),00,일반원칙,A00000,산정방법 및 일반원칙,2025-07-26T02:54:02.801845
A,요양급여비용산정기준(행위),00,일반원칙,A00997,비급여,2025-07-26T02:54:02.801845
A,요양급여비용산정기준(행위),00,일반원칙,A00998,본인부담,2025-07-26T02:54:02.801845
A,요양급여비용산정기준(행위),00,일반원칙,A00999,기타,2025-07-26T02:54:02.801845
A,요양급여비용산정기준(행위),01,기본진료료,A01000,산정방법 및 일반원칙,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),01,기본진료료,A01001,외래환자 진찰료,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),01,기본진료료,A01002,입원료,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),01,기본진료료,A01003,응급의료관리료,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),01,기본진료료,A01004,무균치료실 입원료,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),01,기본진료료,A01005,회송료,2025-07-26T02:54:07.029774
A,요양급여비용산정기준(행위),02,검사료,A02000,산정방법 및 일반원칙,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),02,검사료,A020000,임상병리검사 종합검증료,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),02,검사료,A02001,요 일반검사 4종까지,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),02,검사료,A02001,요적혈구분포도검사,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),02,검사료,A02002,요 일반검사 7종까지,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),02,검사료,A02003,요 일반검사 10종까지,2025-07-26T02:54:11.243407
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03000,산정방법 및 일반원칙,2025-07-26T02:54:15.473479
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03101,C-Arm형 영상증폭장치 이용료,2025-07-26T02:54:15.474480
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03102,투시촬영,2025-07-26T02:54:15.474480
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03105,특수촬영[1건당],2025-07-26T02:54:15.474480
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03110,비골,2025-07-26T02:54:15.474480
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03111,두부,2025-07-26T02:54:15.474480
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04000,산정방법 및 일반원칙,2025-07-26T02:54:19.710508
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04001,퇴원환자조제료,2025-07-26T02:54:19.710508
A,요양급여비용산정기준(행위),04,투약 및 조제료,A040011,외래환자 조제 복약지도료,2025-07-26T02:54:19.711508
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04002,입원 환자 처방조제 복약지도료[1일당],2025-07-26T02:54:19.711508
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04003,원외처방료,2025-07-26T02:54:19.711508
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04004,주사제 무균조제료[1일당],2025-07-26T02:54:19.711508
A,요양급여비용산정기준(행위),05,주사료,A05000,산정방법 및 일반원칙,2025-07-26T02:54:23.913060
A,요양급여비용산정기준(행위),05,주사료,A05001,전립선내 주사,2025-07-26T02:54:23.913060
A,요양급여비용산정기준(행위),05,주사료,A05001,피하 또는 근육내주사,2025-07-26T02:54:23.913060
A,요양급여비용산정기준(행위),05,주사료,A05002,정맥내 일시 주사[1일당],2025-07-26T02:54:23.913060
A,요양급여비용산정기준(행위),05,주사료,A05003,동맥주사,2025-07-26T02:54:23.913060
A,요양급여비용산정기준(행위),05,주사료,A050031,심장내주사,2025-07-26T02:54:23.913060
B,요양급여비용산정기준(약제),00,일반사항,B00000,산정방법 및 일반원칙,2025-07-26T02:54:32.274128
B,요양급여비용산정기준(약제),00,일반사항,B00997,비급여,2025-07-26T02:54:32.275129
B,요양급여비용산정기준(약제),00,일반사항,B00998,본인부담,2025-07-26T02:54:32.275129
B,요양급여비용산정기준(약제),00,일반사항,B00999,기타,2025-07-26T02:54:32.275129
B,요양급여비용산정기준(약제),01,약제료,B01000,산정방법 및 일반사항,2025-07-26T02:54:36.511594
B,요양급여비용산정기준(약제),01,약제료,B01100,신경계감각기관용 의약품,2025-07-26T02:54:36.511594
B,요양급여비용산정기준(약제),01,약제료,B01110,중추신경계용약,2025-07-26T02:54:36.512595
B,요양급여비용산정기준(약제),01,약제료,B01111,전신마취제,2025-07-26T02:54:36.512595
B,요양급여비용산정기준(약제),01,약제료,B01112,최면진정제,2025-07-26T02:54:36.512595
B,요양급여비용산정기준(약제),01,약제료,B01113,항전간제,2025-07-26T02:54:36.512595
B,요양급여비용산정기준(약제),02,의약분업,B02000,000 산정방법 및 일반원칙,2025-07-26T02:54:40.697849
B,요양급여비용산정기준(약제),02,의약분업,B02001,001 의약분업 대상 관련,2025-07-26T02:54:40.698850
B,요양급여비용산정기준(약제),02,의약분업,B02002,"002 임의, 대체 조제 관련",2025-07-26T02:54:40.698850
C,요양급여비용산정기준(치료재료),01,일반사항,C01001,A 핵의학검사용 군,2025-07-26T02:54:49.192874
C,요양급여비용산정기준(치료재료),01,일반사항,C01002,B 봉합용군,2025-07-26T02:54:49.192874
C,요양급여비용산정기준(치료재료),01,일반사항,C01003,C 골유합 및 골고정군용 군,2025-07-26T02:54:49.192874
C,요양급여비용산정기준(치료재료),01,일반사항,C01004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:54:49.192874
C,요양급여비용산정기준(치료재료),01,일반사항,C01005,E 인공관절군,2025-07-26T02:54:49.193875
C,요양급여비용산정기준(치료재료),01,일반사항,C01006,F 척추재료 군,2025-07-26T02:54:49.193875
C,요양급여비용산정기준(치료재료),02,검사료,C02001,A 핵의학검사용 군,2025-07-26T02:54:53.436198
C,요양급여비용산정기준(치료재료),02,검사료,C02002,B 봉합용군,2025-07-26T02:54:53.437199
C,요양급여비용산정기준(치료재료),02,검사료,C02003,C 골유합 및 골고정군용 군,2025-07-26T02:54:53.437199
C,요양급여비용산정기준(치료재료),02,검사료,C02004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:54:53.437199
C,요양급여비용산정기준(치료재료),02,검사료,C02005,E 인공관절군,2025-07-26T02:54:53.437199
C,요양급여비용산정기준(치료재료),02,검사료,C02006,F 척추재료 군,2025-07-26T02:54:53.437199
C,요양급여비용산정기준(치료재료),03,마취료,C03001,A 핵의학검사용 군,2025-07-26T02:54:57.687582
C,요양급여비용산정기준(치료재료),03,마취료,C03002,B 봉합용군,2025-07-26T02:54:57.687582
C,요양급여비용산정기준(치료재료),03,마취료,C03003,C 골유합 및 골고정군용 군,2025-07-26T02:54:57.687582
C,요양급여비용산정기준(치료재료),03,마취료,C03004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:54:57.687582
C,요양급여비용산정기준(치료재료),03,마취료,C03005,E 인공관절군,2025-07-26T02:54:57.687582
C,요양급여비용산정기준(치료재료),03,마취료,C03006,F 척추재료 군,2025-07-26T02:54:57.688583
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04001,A 핵의학검사용 군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04002,B 봉합용군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04003,C 골유합 및 골고정군용 군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04005,E 인공관절군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04006,F 척추재료 군,2025-07-26T02:55:01.923356
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05001,A 핵의학검사용 군,2025-07-26T02:55:06.159899
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05002,B 봉합용군,2025-07-26T02:55:06.159899
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05003,C 골유합 및 골고정군용 군,2025-07-26T02:55:06.160922
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:55:06.160922
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05005,E 인공관절군,2025-07-26T02:55:06.160922
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05006,F 척추재료 군,2025-07-26T02:55:06.160922
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06001,A 핵의학검사용 군,2025-07-26T02:55:10.374648
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06002,B 봉합용군,2025-07-26T02:55:10.375649
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06003,C 골유합 및 골고정군용 군,2025-07-26T02:55:10.375649
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06004,D 관절경수술 관련 연부조직 고정용 군,2025-07-26T02:55:10.375649
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06005,E 인공관절군,2025-07-26T02:55:10.375649
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06006,F 척추재료 군,2025-07-26T02:55:10.375649
D,고시 등,00,일반사항,D00000,일반사항,2025-07-26T02:55:18.757131
D,고시 등,01,건강검진실시기준,D01000,일반사항,2025-07-26T02:55:22.925124
D,고시 등,02,신의료기술등의결정및조정기준,D02000,일반사항,2025-07-26T02:55:27.120312
D,고시 등,02,신의료기술등의결정및조정기준,D02001,행위,2025-07-26T02:55:27.120312
D,고시 등,02,신의료기술등의결정및조정기준,D02002,약제,2025-07-26T02:55:27.121313
D,고시 등,02,신의료기술등의결정및조정기준,D02003,치료재료,2025-07-26T02:55:27.121313
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03000,일반사항,2025-07-26T02:55:31.360793
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03001,만성신부전,2025-07-26T02:55:31.360793
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03002,혈우병,2025-07-26T02:55:31.360793
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03003,고셔병,2025-07-26T02:55:31.360793
